partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RU,702.0,1352.0,1026.0,1305.0,379.0,470.0,738.0,1535.0,2067.0,2228.0,3065.0,3506.0,3189.0,2785.0,3823.0,2832.0,2358.0,3338.0,3184.0,698.0,375.0,210.0,1482.0,3939.0,4128.0,3813.0,3990.0,3592.2000000000003,4593.9,4417.2,3577.7999999999997
AU,4215.0,5128.0,6708.0,6766.0,7911.0,8691.0,6144.0,8046.0,10860.0,10605.0,10389.0,11472.0,7731.0,7017.0,7869.0,8850.0,6411.0,6960.0,6765.0,1131.0,4047.0,4605.0,3681.0,3882.0,3861.0,4275.0,3828.0,3793.7999999999997,3566.7000000000003,3562.7999999999997,3576.2999999999997
US,17740.0,15733.0,15105.0,11849.0,11002.0,12484.0,14005.0,10773.0,7796.0,6061.0,6621.0,7266.0,5572.0,5219.0,5079.0,5190.0,5533.0,5191.0,5629.0,4954.0,6654.0,5403.0,4943.0,4982.0,3675.0,2727.0,1779.0,2101.8,2286.3,2028.0,1281.0
DE,5389.0,4004.0,3043.0,1987.0,2003.0,1572.0,1458.0,1385.0,1147.0,902.0,838.0,765.0,671.0,608.0,1056.0,955.0,932.0,983.0,1053.0,872.0,1037.0,1313.0,1202.0,1375.0,1580.0,1326.5,1418.2,1449.6,1464.2,1370.5,862.1
ZA,13576.0,13269.0,12360.0,10551.0,12624.0,15093.0,12066.0,11775.0,12624.0,9225.0,9261.0,10680.0,8394.0,10821.0,9282.0,6243.0,6780.0,4923.0,5811.0,5700.0,3360.0,2082.0,1395.0,1062.0,1392.0,507.0,498.0,228.0,594.5999999999999,556.5,305.1
UK,297.0,390.0,285.0,195.0,191.0,198.0,227.0,210.0,137.0,200.0,230.0,203.0,170.0,247.0,167.0,192.0,120.0,118.0,153.0,120.0,152.0,121.0,133.0,132.0,90.0,83.0,80.0,108.5,140.7,173.7,184.1
CO,510.0,834.0,684.0,663.0,714.0,807.0,528.0,738.0,1182.0,282.0,1293.0,645.0,942.0,36.0,192.0,15.0,12.0,81.0,627.0,342.0,498.0,1185.0,636.0,1017.0,1131.0,357.0,0.0,87.6,77.5,14.4,107.69999999999999
Other,4476.0,5031.0,4889.0,4374.0,6453.0,6121.0,5301.0,5679.0,4761.0,5364.0,5202.0,6192.0,4231.0,2439.0,3068.0,3109.0,3020.0,1983.0,1655.0,1603.0,3678.0,4134.0,3838.0,1161.0,1222.0,851.0,792.7999999999993,721.4999999999982,571.7999999999975,823.7000000000007,625.7999999999993
