partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MA,45.0,22.0,0.0,10.0,18.0,13.0,8.0,73.0,8.0,9.0,10.0,20.0,0.0,64.0,501.0,457.0,19.0,297.0,7.0,12.0,0.0,21.0,33.0,403.0,655.0,310.0,431.0,44.671,64.652,763.552,1240.9360000000001
IN,284.0,0.0,53.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,685.0,57.0,88.0,369.0,213.0,129.0,326.0,671.0,799.516,843.871,611.36,1113.538
CN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.184,0.08,679.5250000000001
UA,0.0,0.0,0.0,3.0,2673.0,9114.0,5064.0,5401.0,3773.0,637.0,1417.0,1544.0,960.0,1286.0,0.0,66.0,760.0,749.0,614.0,165.0,281.0,301.0,605.0,726.0,971.0,1100.0,1290.0,1235.62,470.43899999999996,558.219,465.609
UK,1376.0,899.0,1356.0,1827.0,2362.0,1593.0,1332.468,958.8340000000001,1244.0,1273.0,1172.0,1354.0,1390.0,1440.0,1658.0,2162.869,1622.0,804.0,745.0070000000001,769.433,833.677,822.188,250.53199999999998,1019.969,521.34,337.022,190.348,192.88400000000001,162.391,275.979,369.261
TR,9.0,13.0,10.0,252.0,165.0,243.0,43.0,33.0,16.0,250.0,106.0,129.0,286.0,249.0,19.0,307.0,82.0,16.0,37.0,501.0,325.0,54.0,218.0,252.0,108.0,111.0,449.0,68.497,77.613,58.897999999999996,331.922
NO,385.0,289.0,254.0,261.0,490.0,425.0,386.0,334.0,313.0,288.0,290.0,352.0,343.0,395.0,530.0,493.0,481.0,529.0,482.0,259.0,337.0,362.0,440.0,404.0,395.0,303.0,281.0,359.476,273.49,269.255,300.887
Other,26738.0,17356.0,17377.0,14829.0,5655.0,6624.0,4056.000000000001,3205.000000000001,5745.0,3493.0,2028.0,2266.0,2829.0,1703.0,1708.0,2090.6340000000005,2078.37,1071.737,1200.4099999999999,1567.7039999999997,1983.3980000000001,1964.103,2213.812,1850.1970000000001,1564.13,1717.2160000000003,1998.1509999999998,1431.8020000000006,1497.8120000000001,1439.9629999999997,1113.5480000000007
