partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RU,285.0,307.0,310.0,226.0,56.0,157.0,83.0,43.0,111.0,1179.0,1572.0,1762.0,2418.0,2000.0,3343.0,4264.0,3661.0,2772.0,2704.0,1983.0,931.0,1913.0,3328.0,2388.0,2265.0,4060.0,2504.0,5031.0,3695.0,2854.0,2233.0
PL,315.0,84.0,233.0,223.0,248.0,225.0,119.0,254.0,232.0,547.0,316.0,298.0,250.0,39.0,142.0,137.0,238.0,64.0,79.0,50.0,29.0,30.0,13.0,35.0,60.0,56.0,50.0,22.0,254.0,467.0,592.0
CO,404.0,762.0,731.0,931.0,1029.0,665.0,721.0,337.0,419.0,740.0,1112.0,437.0,1688.0,1478.0,974.0,1954.0,1547.0,2318.0,1998.0,2816.0,2875.0,3650.0,6303.0,2528.0,5624.0,6284.0,4050.0,4570.0,3479.0,1169.0,461.0
US,3174.0,4862.0,4317.0,3933.0,3809.0,4230.0,3656.0,3887.0,2974.0,2355.0,2524.0,1884.0,1904.0,1547.0,2042.0,1529.0,1452.0,1378.0,2422.0,1647.0,1922.0,1526.0,2246.0,1810.0,1252.0,1323.0,1181.0,1768.0,1457.0,653.0,358.0
KZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,259.0
DE,431.0,331.0,88.0,22.0,50.0,61.0,62.0,84.0,71.0,74.0,102.0,99.0,109.0,99.0,101.0,170.0,103.0,101.0,114.0,23.0,82.0,78.0,65.0,58.0,55.0,66.0,46.0,24.0,312.0,119.0,239.0
VE,53.0,6.0,1.0,16.0,0.0,0.0,0.0,194.0,361.0,205.0,389.0,160.0,64.0,0.0,15.0,145.0,153.0,382.0,192.0,123.0,64.0,121.0,133.0,117.0,0.0,113.0,0.0,19.0,0.0,119.0,220.0
Other,6282.0,6780.0,8707.0,7520.0,6835.0,9397.0,7948.0,6712.0,10479.0,15118.0,15771.0,14419.0,18289.0,16607.0,18026.0,16693.0,16705.0,17560.0,13662.0,10517.0,7118.0,9015.0,10494.0,6910.0,7373.0,7170.0,6185.0,7916.0,7346.0,4046.0,494.0
