partner,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
NL,30657.0,26933.0,27213.0,29670.0,27303.0,33865.0,33577.0,31909.0,29342.0,25829.0,25487.0,26931.0,29210.0,26225.0,25124.0,23697.0,24877.0,12824.0,19134.0,20837.0,18102.0,14014.0,13605.0,12614.0,16097.0,10655.0,14337.0,10964.0,12395.0,6774.0,8582.0
CH,20754.0,23603.0,21060.0,24638.0,22082.0,23089.0,17210.0,22222.0,23990.0,18325.0,19707.0,21526.0,19891.0,16889.0,16687.0,18411.0,15338.0,10129.0,10833.0,12750.0,12760.0,11483.0,7325.0,10199.0,11723.0,14015.0,16656.0,15187.0,19232.0,14704.0,17253.0
AT,19555.0,22728.0,23697.0,24811.0,26995.0,24036.0,23608.0,20544.0,20409.0,22087.0,26289.0,23710.0,25169.0,26425.0,28477.0,25934.0,26870.0,19836.0,15420.0,16930.0,16069.0,13561.0,11034.0,9390.0,9679.0,8212.0,8489.0,7825.0,7162.0,7523.0,5794.0
CZ,14441.0,11578.0,12067.0,8501.0,9195.0,7087.0,6545.0,5770.0,3397.0,5993.0,4574.0,5144.0,4538.0,6423.0,6128.0,4563.0,4000.0,3947.0,3706.0,4933.0,3890.0,5443.0,2642.0,1303.0,1105.0,1670.0,1969.0,1286.0,890.0,621.0,2127.0
BE,11102.0,12972.0,12685.0,11497.0,10787.0,10098.0,9544.0,8875.0,7738.0,6970.0,5287.0,6562.0,6954.0,5067.0,5725.0,4138.0,7627.0,5153.0,3719.0,3048.0,2084.0,1860.0,2411.0,2976.0,3715.0,5252.0,4173.0,4311.0,4162.0,2949.0,2391.0
FR,10377.0,8484.0,7769.0,10297.0,9964.0,10232.0,9924.0,8820.0,5278.0,3478.0,4015.0,8089.0,14305.0,13697.0,17117.0,18647.0,13476.0,13843.0,11623.0,12385.0,16779.0,12224.0,9326.0,9829.0,10433.0,10129.0,14134.0,14605.0,10563.0,4782.0,5479.0
PL,8900.0,9117.0,14671.0,14440.0,17199.0,11888.0,12498.0,8487.0,6305.0,10734.0,8613.0,10947.0,11548.0,14923.0,11390.0,8120.0,4134.0,4072.0,4283.0,2623.0,4362.0,4190.0,5064.0,3140.0,1967.0,1508.0,1635.0,1162.0,1214.0,3918.0,2633.0
Other,18061.0,16039.0,16467.0,18340.0,15661.0,15054.0,14202.0,14494.0,16484.0,16815.0,18168.0,33153.0,42398.0,64647.0,56835.0,57677.0,50410.0,44759.0,48077.0,40443.0,50838.0,42382.0,38533.0,37784.0,31469.0,30837.0,29361.0,26410.0,18327.0,6713.0,11948.0
