partner,2020
RU,162321.24599999998
US,51568.018000000004
NO,47662.254
SA,42530.957
UK,39871.007
NG,34601.716
KZ,33614.816999999995
IQ,20968.457
AZ,19040.402000000002
DZ,17022.568
LY,9650.053
MX,8539.425
Other,77079.64000000013
