partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RU,272.50166666666667,249.79555555555555,232.86944444444444,262.6791666666667,304.2638888888889,334.77416666666664,338.25111111111113,319.35527777777776,340.34305555555557,358.4741666666667,361.085,343.1763888888889,347.1275,358.2572222222222,407.89722222222224,413.9775,414.02444444444444,406.6738888888889,419.8913888888889,319.65777777777777,368.17805555555555,355.8666666666667,353.40694444444443,432.9530555555556,402.88305555555553,472.46972222222223,635.4113888888888,672.324045,466.8602127777778,500.88734416666665,568.1804127777777
NO,93.38055555555556,94.6975,107.60833333333333,109.20777777777778,118.01166666666667,130.42944444444444,175.6288888888889,209.70638888888888,193.17305555555555,200.07583333333332,210.54694444444445,230.90666666666667,267.96166666666664,280.22,278.7366666666667,298.4063888888889,319.4952777777778,290.7502777777778,295.68805555555554,304.5416666666667,310.1061111111111,297.1125,265.1347222222222,219.38444444444445,225.27916666666667,238.1988888888889,115.93388888888889,120.336505,26.64486833333333,28.586880833333332,178.52800861111112
AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonstige,185.73361111111112,228.745,247.24416666666667,257.34722222222223,237.7136111111111,249.69,297.2266666666667,261.2813888888889,233.20388888888888,237.34833333333333,217.72833333333332,245.75666666666666,235.9411111111111,270.8797222222222,292.6275,307.1816666666667,274.14194444444445,240.45638888888888,267.3358333333333,325.1213888888889,340.0161111111111,317.87583333333333,338.84305555555557,406.58972222222224,345.4147222222222,399.59527777777777,303.2713888888889,444.5288958333333,417.91721805555557,448.37713694444454,112.25625250000002
