partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RU,8.170503,5.865126,9.510105,8.495714,8.580931,8.395144,6.648027,7.5163720000000005,7.556789000000001,9.746512000000001,13.858201000000001,15.69402,17.756816999999998,20.30312,26.635554,28.922121999999998,30.834341000000002,31.98872,32.891306,34.971858999999995,36.388009,38.479286,35.266163999999996,40.19338,42.198296,43.748684000000004,45.650337,57.544941,60.663795,54.27963,42.821025
US,40.067113,44.991976,40.678974000000004,27.800596,26.320393,36.611652,32.755913,29.950267,23.929938000000003,17.138753,16.949967,16.501761,11.813681,11.422111000000001,12.729799,14.02296,15.12859,17.929951000000003,26.474687999999997,20.037494,25.200654999999998,29.121357,36.10649,31.189548000000002,28.589033999999998,20.624057,19.038176,24.15302,26.692420000000002,21.040066000000003,13.351598
AU,13.686112999999999,15.434291000000002,17.719341,14.746915000000001,16.137402,15.36899,12.924448,14.366396,17.832009,20.131361000000002,21.465522,21.32711,23.304318,24.642636,24.312551,22.596017,22.958938000000003,25.277641,22.191121,10.751367,15.756,14.489991,13.949923,14.845963,12.640131,18.55856,24.46048,17.725171999999997,17.035171,16.418484,11.860790000000001
CO,7.607572,8.62965,8.190901,8.00579,7.5857790000000005,7.916768,14.149719000000001,16.575893,15.088512999999999,14.053768,14.565913,12.062380000000001,16.662147,17.617627,18.65803,18.282223,19.150816,20.898632000000003,19.459888,23.195591,25.337561,32.405822,33.443262000000004,27.537358,28.667825,32.210893,30.051561000000003,25.97367,19.414066,9.626263999999999,4.71635
ZA,22.678735,23.329007,25.757133999999997,24.454404999999998,25.62031,29.161058,29.202411,29.525465,33.763,32.463103,34.019031000000005,32.136775,40.644883,41.211305,39.953977,36.162969,36.677848,34.432421000000005,30.883116,23.955095,15.716801,15.155194,12.997245999999999,11.900592000000001,15.385888999999999,12.818268,8.197732,7.765281,4.194608000000001,3.3759970000000004,1.0948849999999999
CA,2.593,3.293,3.689674,2.048136,3.137564,2.873,3.569,4.20601,3.715,4.213,4.675,5.334711,4.483631,4.432,4.165,5.531,4.898008,5.272979,4.524,2.43,3.137,4.080309000000001,3.28373,3.510732,5.279154,2.707,3.622,3.955491,3.693921,2.727754,2.02183
KZ,0.003,0.23,0.236,0.124,0.262,0.262,0.027,0.0,0.0,0.001,0.0,0.507,1.316,1.31,0.041,0.932,0.559,0.269,0.587,0.338,0.332,0.507,0.388969,0.423394,1.081,0.873154,0.949566,1.0106469999999999,1.4022350000000001,2.629408,1.5837289999999997
Other,30.642399000000005,25.47700600000001,22.114176000000022,19.822069000000003,15.728741000000008,14.520392999999997,15.265963999999979,12.614874000000011,13.928496999999988,14.872263000000006,20.383883,26.927443,21.891756000000008,24.494424,31.922699999999995,23.377511000000013,31.606137000000018,30.55177000000002,29.206241999999968,20.754423999999986,21.552228999999993,24.64503699999998,24.252915999999967,21.636786999999998,18.569630000000032,21.29091199999998,15.127671999999992,12.750444999999978,10.718385999999999,6.309838000000004,2.0968299999999873
