partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CH,18.53638888888889,20.284444444444443,20.5375,21.61722222222222,24.753611111111113,31.589166666666667,31.629722222222224,31.328333333333333,11.419444444444444,9.685,6.604722222222223,7.482222222222222,7.051388888888889,7.401944444444444,8.695833333333333,9.518888888888888,8.5575,6.581944444444445,6.594166666666666,5.641388888888889,6.540555555555556,6.375555555555556,7.083611111111111,7.694444444444445,61.12504666666667,54.81408694444444,28.255834722222225,40.528088611111116,50.9777725,96.78112583333333,77.46027472222222
UA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.852777777777778,7.0183333333333335,5.518888888888889,20.143055555555556,43.20296638888889,43.70990361111111,53.062712222222224,24.826418611111112
UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6302777777777777,14.706111111111111,23.09638888888889,47.10055555555556,11.53888888888889,5.5472222222222225,2.926388888888889,9.770277777777778,80.1061111111111,90.31166666666667,78.18,88.06138888888889,63.451388888888886,73.40861111111111,80.03027777777778,71.26011111111112,36.16582555555556,48.22076388888889,22.866783333333338,30.759375277777774,18.145508333333332,12.442548888888888
RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6391666666666667,0.0,0.0,0.05305555555555556,0.0425,0.05722222222222222,0.22083333333333333,0.2427777777777778,0.9119444444444444,1.888611111111111,0.53,0.5208333333333334,0.19111111111111112,0.2038888888888889,0.2175,0.0,0.8366666666666667,1.8455555555555556,4.0216666666666665,7.818061666666667
CN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1694444444444443,0.0,0.0,0.0025055555555555556,3.8933255555555557,0.06701361111111111,2.468881111111111
GI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03779361111111111,1.0482238888888888,1.7699466666666666
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9805555555555556,0.0,3.0025,1.0375,0.0,1.978923888888889,3.575352222222222,0.0,1.3591844444444445
Other,3.7219444444444445,0.09333333333333334,0.049166666666666664,0.1461111111111111,1.0755555555555556,0.2411111111111111,0.0,0.0,42.71361111111111,55.45444444444445,63.33722222222222,78.18305555555555,92.13861111111112,162.27333333333334,186.07888888888888,242.25706416666665,204.91859305555556,209.02482555555554,206.87315777777778,237.85206250000002,343.05717861111106,309.67642,339.68012833333336,370.7500888888889,347.65426888888896,449.96828222222223,357.62678722222233,447.76791444444444,98.14368472222219,47.50715805555558,120.3759247222222
