partner,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
RU,42937.979,57913.414,57525.0,57277.0,50068.0,45482.0,42144.0,37637.0,31393.0,29875.0,33640.0,28611.0,27493.0,27047.0,26252.0,22650.0,17613.0,8038.0,7041.0,8062.0,3475.0,1530.0,504.0,492.0,475.0,693.0,618.0,687.0,740.0,689.0,1002.0
US,17254.464,25751.847,29249.0,27186.0,27884.0,23009.0,32055.0,31917.0,31871.0,23200.0,17178.0,13278.0,16143.0,9809.0,6314.0,3801.0,2898.0,1143.0,1948.0,2644.0,2461.0,2736.0,4356.0,3454.0,6520.0,8045.0,1756.0,2808.0,3929.0,4371.0,2267.0
AU,11552.244,14313.609,15486.0,16905.0,30471.0,18630.0,7017.0,13698.0,13047.0,12498.0,12318.0,10821.0,14080.0,16878.0,14434.0,12513.0,11988.0,15018.0,13530.0,11384.0,12189.0,7088.0,7059.0,2447.0,3537.0,2817.0,4776.0,4678.0,4339.0,3990.0,3510.0
CO,5674.163,5694.457,11426.0,18603.0,24386.0,21585.0,22640.0,24453.0,25889.0,31836.0,24088.0,19543.0,14093.0,17837.0,12612.0,9207.0,11484.0,18527.0,17687.0,9305.0,8157.0,8490.0,9255.0,11133.0,6670.0,2988.0,3593.0,2319.0,1866.0,1338.0,384.0
CA,3656.0370000000003,3816.73,4734.0,4521.0,6999.0,3897.0,10701.0,3554.0,4516.0,5169.0,3494.0,3327.0,4485.0,5280.0,5124.0,4971.0,1833.0,4492.0,3373.0,2866.0,2595.0,2277.0,2381.0,1422.0,265.0,309.0,36.0,102.0,603.0,1218.0,210.0
PL,2576.346,3029.7400000000002,3708.0,6560.0,9435.0,12155.0,12835.0,15920.0,13463.0,15135.0,22109.0,14340.0,20526.0,23172.0,30574.0,28758.0,25320.0,25466.0,25268.0,26839.0,25042.0,20904.0,19688.0,14510.0,11969.0,12866.0,14932.0,13847.0,14116.0,15705.0,8249.0
UK,2322.046,3502.822,3008.0,3779.0,24.0,38.0,87.0,18.0,2.0,2.0,27.0,237.0,32.0,12.0,10.0,2.0,12.0,0.0,109.0,227.0,117.0,200.0,123.0,340.0,23.0,112.0,293.0,379.0,227.0,844.0,860.0
Other,6188.419999999984,13010.466,14220.315999999992,21555.0,29170.0,45026.0,41180.0,43208.0,33811.0,33962.0,33839.0,30794.0,48445.0,48551.0,50041.0,37236.0,56545.0,42374.0,43875.0,59241.0,47564.0,39430.0,38925.0,40140.0,33363.0,30074.0,34362.0,28449.0,35708.0,31388.0,37423.0
