partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23305555555555554,0.06305555555555556,3.9763888888888888,2.9383333333333335,5.423055555555556,3.9652777777777777,5.711111111111111,10.276126666666666,13.683872777777779,16.03701611111111,16.010402222222222
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36138888888888887,0.0525,0.02388888888888889,0.22027777777777777,1.458888888888889,0.7797222222222222,0.5444444444444444,0.81,1.4536111111111112,2.433283888888889,3.2221055555555553,5.149776388888889,6.229950555555556
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21612972222222224,0.7647241666666666
MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,7.434166666666667,8.43388888888889,7.610555555555556,8.338888888888889,7.842777777777778,2.891111111111111,9.278333333333334,11.035833333333333,11.653333333333334,11.706111111111111,11.695555555555556,11.43388888888889,11.446388888888889,12.020555555555555,11.12138888888889,11.971111111111112,11.890833333333333,11.137222222222222,12.383611111111112,10.905277777777778,10.967222222222222,8.910277777777777,8.812222222222223,9.613333333333333,6.1275,6.438888888888889,6.4191666666666665,6.764358055555555,0.08472777777777891,0.01614444444444315,0.0
