geo,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
IT,30033.78,24308.765,26179.555,22850.0,20650.0,29510.0,31015.0,29976.0,29319.0,29396.0,30212.0,26421.0,30756.0,33794.0,32193.0,32061.0,28929.0,29758.0,29295.0,21241.0,23999.0,26274.0,29254.0,30584.0,28448.0,27441.0,25303.0,24274.0,23729.0,22602.0,23670.0
DK,17601.035,25086.170000000002,28328.935,33684.835,34621.869999999995,38449.06,40655.0,43415.0,49900.0,54705.0,60785.0,64515.0,70175.0,75845.0,84195.0,92585.0,96310.0,90715.0,90715.0,84435.0,88900.0,72325.0,57160.0,55725.0,50610.0,45850.0,45590.0,41325.0,38780.0,34965.0,29970.0
DE,17503.0,18161.0,19770.0,19749.0,19849.0,19360.0,18541.0,20002.0,20168.0,20851.0,20194.0,24214.0,26586.0,27731.0,27853.0,27783.0,26147.0,24894.0,24067.0,22546.0,22880.0,19994.0,20016.0,19444.0,19524.0,20186.0,20516.0,21476.0,22509.0,23661.0,28080.0
RO,17484.86,18051.41,18070.82,18306.035,19142.0,20165.0,20320.0,20655.0,19910.0,21110.0,21435.0,22616.0,23853.0,24525.0,28445.0,30357.0,28525.0,35835.0,36810.0,31400.0,31746.0,32231.0,33791.0,34379.0,34938.0,35289.0,34870.0,34655.0,34135.0,33955.0,39645.0
NL,5394.5199999999995,5794.1539999999995,7772.533,7628.676,8165.27,10240.83,10298.0,8585.0,8385.0,8100.0,8108.0,9498.0,11575.0,13864.0,11118.0,12528.0,15037.0,16663.0,16198.0,12311.0,13056.0,14031.0,14457.0,15940.0,16408.0,18409.0,23385.0,17926.0,18054.0,19879.0,20480.0
HU,5194.0,5846.0,5568.0,5238.0,4944.0,4305.0,4160.0,4355.0,5130.0,4760.0,5380.0,5980.0,6175.0,6030.0,6737.0,7072.0,7836.0,8081.0,7982.0,7754.0,8329.0,8951.0,9181.0,9860.0,10595.0,11510.0,9775.0,10205.0,10755.0,11055.0,11495.0
PL,4726.67,4995.93,5091.134,4988.6089999999995,5071.0,4646.0,4755.0,4816.0,3465.0,3427.0,3747.0,3465.0,3901.0,3623.0,3998.0,4546.0,4610.0,3891.0,3976.0,4207.0,3613.0,2680.0,2172.0,1931.0,2047.0,1898.0,1672.0,1301.0,1108.0,880.0,908.0
Other,11082.068,13257.851999999999,13776.584000000003,14676.494999999995,15012.084999999992,16137.459999999977,16941.455000000016,16889.875,16567.515000000014,16872.89500000002,18217.01000000001,19458.61499999999,20264.929999999993,20441.149999999994,21495.70000000001,23197.929999999993,25979.0,25736.0,25706.0,26203.0,27489.0,28182.0,32176.0,31450.0,31718.0,35754.0,38813.0,41728.0,43691.0,46758.0,44310.0
