partner,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
PL,5703.877,5513.65,5469.234,5660.472,4423.743,3883.131,4249.912,4014.011,4536.507,3116.3689999999997,3388.657,4423.039000000001,6262.735000000001,7808.556,7496.763,7273.407,7515.0,8198.0,8154.0,7500.0,6747.0,4951.0,5638.0,4881.0,4556.0,8999.0,9189.0,5178.0,6309.0,7200.0,5605.0
US,1536.126,1860.816,1524.045,1569.636,1403.6789999999999,1933.245,1625.328,2072.532,2392.827,2616.36,3240.1259999999997,856.827,1530.171,1379.031,917.757,1503.379,12.0,11.0,10.0,2.0,4.0,10.0,14.0,16.0,0.0,0.0,0.0,0.0,336.0,894.0,1368.0
RU,1030.3890000000001,1044.039,641.934,529.239,818.754,860.2470000000001,41.463,114.63,609.183,298.824,289.773,0.0,0.07200000000000001,362.793,160.132,93.309,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,888.0,1122.0,1824.0
AU,783.165,572.7750000000001,569.5649999999999,1230.642,1415.276,809.553,706.509,0.0,0.003,305.973,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,102.0,33.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,413.007,1572.9279999999999,1699.51,2671.678,3065.182,3056.492,4049.0330000000004,5089.99,4999.881,5343.753000000001,5986.067,5277.961,6514.5650000000005,5764.263,5969.581,6558.454,7861.0,5876.0,5816.0,5650.0,5256.0,6288.0,6651.0,7605.0,7246.0,55.0,0.0,4719.0,4115.0,2842.0,2756.0
DE,246.119,278.635,368.146,426.508,434.03,323.578,656.039,434.594,374.601,360.707,385.97,497.117,491.464,555.733,588.7660000000001,492.252,454.0,456.0,424.0,547.0,448.0,300.0,334.0,435.0,795.0,1263.0,1048.0,618.0,733.0,1118.0,1076.0
HU,216.216,293.69100000000003,223.839,448.693,296.952,348.376,669.632,611.682,489.54200000000003,533.893,353.77,52.082,246.037,243.612,206.448,44.698,8.0,2.0,4.0,4.0,58.0,58.0,62.0,162.0,134.0,180.0,140.0,122.0,150.0,0.0,2.0
Other,46.1979999999985,226.7510000000002,732.8219999999983,220.04299999999967,110.70100000000093,192.40499999999884,358.4940000000006,112.71399999999994,227.41799999999967,176.26700000000164,123.68100000000231,208.8060000000005,377.9359999999997,97.14199999999983,63.448999999998705,257.1190000000006,142.0,38.0,41.0,49.0,36.0,39.0,74.0,141.0,201.0,376.0,321.0,401.0,821.0,705.0,526.0
