partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BE,1569.0,940.0,772.0,546.0,1964.0,1392.0,594.0,250.0,144.0,105.0,88.0,53.0,81.0,74.0,77.0,86.0,363.0,356.0,473.0,252.0,387.0,405.0,505.0,613.0,532.0,573.0,620.0,755.0,686.0,728.963,543.718
AT,128.0,145.0,85.0,51.0,40.0,22.0,25.0,25.0,133.0,14.0,110.0,22.0,30.0,51.0,40.0,18.0,158.0,186.0,151.0,141.0,132.0,131.0,127.0,129.0,137.0,125.0,112.0,108.0,113.0,300.49,473.357
PL,1.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,3.0,75.0,26.0,33.0,79.0,146.0,167.0,198.0,195.0,183.0,178.0,181.0,226.0,275.0,251.0,268.423,231.518
FR,1945.0,1260.0,439.0,205.0,203.0,157.0,172.0,139.0,78.0,92.0,111.0,125.0,153.0,135.0,123.0,116.0,316.0,355.0,553.0,182.0,146.0,176.0,188.0,259.0,226.0,172.0,150.0,137.0,140.0,272.661,224.018
ES,461.0,293.0,69.0,3.0,4.0,9.0,18.0,24.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,10.0,6.0,10.0,4.0,8.0,7.0,116.0,33.0,303.0,303.0,339.0,115.764,206.917
CZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,15.0,51.0,113.0,142.0,174.0,226.0,492.0,387.0,1336.0,1082.0,190.0,230.0,242.0,222.17,183.667
CH,57.0,29.0,34.0,22.0,27.0,32.0,38.0,25.0,24.0,22.0,12.0,7.0,30.0,13.0,4.0,4.0,97.0,98.0,94.0,81.0,82.0,86.0,87.0,85.0,142.0,139.0,140.0,128.0,117.0,102.186,107.267
Other,8630.0,4292.0,2473.0,1753.0,1710.0,1365.0,1058.0,999.0,580.0,503.0,549.0,595.0,745.0,621.0,674.0,735.0,195.0,288.0,352.0,630.0,596.0,533.0,632.0,530.0,726.0,581.0,633.0,615.0,630.0,530.9390000000001,369.99800000000005
