partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
US,10517.972,9302.244,11324.29,11135.617,11951.798999999999,7037.557,8471.583999999999,9754.152,13895.053,13914.4,17987.57,16749.737,19704.929,19962.65,24164.631,24945.069,25938.02,24972.027000000002,24539.337,19867.457000000002,16775.731,15797.469000000001,17942.005,18355.237,19138.161,18489.394,20272.611,20392.013000000003,22027.867,23302.414,18433.595999999998
UK,12708.79,11330.828,11037.036,12841.85,15439.18,13180.218,13973.964,11102.658,11961.385,13193.379,14966.022,20172.533,17350.821,15229.666000000001,16035.844000000001,14742.673999999999,16422.207,20149.906000000003,19594.951999999997,15969.517,15952.542000000001,16991.073,19415.004,30757.277000000002,17324.007,19204.345,18872.654000000002,19160.865,18043.009,14801.064999999999,11433.905
NG,167.464,373.1,354.93899999999996,396.619,598.145,658.576,1002.74,422.791,686.701,1028.897,985.432,651.059,893.0,1302.924,2332.151,2515.007,2374.0,3658.004,6250.0,6639.0,8177.0,5571.0,4300.0,3926.0,4732.0,5864.866,5338.215,4798.111,5068.399,8227.945,7691.329
CH,9384.392,8579.073,9185.851,7553.919,8574.109,7516.36,7481.849,8582.838,8950.883,8162.968,7785.317,6905.0,7650.0,10603.0,8761.454,6734.351000000001,7516.568,7325.954,7381.512,7466.0560000000005,7035.706,6313.0560000000005,9387.801,8209.876,6610.686,8336.825,8124.062,9211.382,8247.546,9177.980000000001,7165.217000000001
GI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.113,1366.0,3067.94,4970.657,3798.2870000000003,6624.823
MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,121.0,5.0,0.0,8.0,8.0,0.0,0.0,5.0,6.0,6.0,1749.0,2731.0,2887.0,3909.4030000000002,5716.057,5818.809,5366.011,4553.95,5617.442
SA,67.0,160.0,158.351,870.619,56.0,101.0,151.43,79.855,165.623,14.0,108.0,30.02,10.0,150.885,56.150999999999996,146.0,563.0,389.0,617.0,338.0,562.0,1537.0,1260.0,1965.0,2950.0,2733.579,2434.227,1884.413,1640.4720000000002,2715.81,5228.621
Other,58330.407999999996,43178.79299999999,39967.29999999999,55883.64599999999,44564.911,44620.49899999999,42627.905999999995,42449.56599999999,40149.7,34070.553,34863.13199999999,33919.80500000001,33167.65700000001,36113.632000000005,42995.41399999999,46950.923,50200.662,55361.379,58942.958999999995,64454.177999999985,72885.95599999998,75525.881,82294.83500000002,77991.42800000003,77081.074,86916.11000000002,86486.807,95457.93100000001,87563.10100000001,72350.283,58121.04200000001
