partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.707222222222223,24.30611111111111,30.58972222222222,66.74805555555555,61.141666666666666,53.42638888888889,23.713333333333335,16.89527777777778,13.711472222222223,27.353944444444444,11.036416666666666,12.357083333333334,22.193916666666667,49.36383333333333,27.383
RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6104722222222225,20.882250000000003,15.40836111111111
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.963,6.37825
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9480555555555555,1.875,0.9369444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1819166666666665
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6246111111111112,0.0,0.8972777777777777
NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,44.43833333333333,46.90972222222222,50.94638888888889,48.69833333333333,45.84361111111111,52.31055555555555,47.43611111111111,51.221111111111114,47.27111111111111,46.22222222222222,48.183055555555555,26.590555555555557,39.50361111111111,35.10305555555556,31.541944444444443,35.61416666666667,41.67722222222222,5.113611111111111,1.8572222222222223,3.5430555555555556,4.433888888888889,5.965277777777778,0.0,0.07222222222222222,0.02847222222222222,0.0,0.028277777777778585,0.0,0.0,1.7550833333333382,0.0
