geo,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AT,2811.0,3252.145,3441.035,3673.535,3960.085,4373.46,4879.455,4361.875,4594.515,4114.895,5185.01,5368.615,4931.929999999999,4671.15,4755.7,4663.929999999999,5305.0,5055.0,5200.0,5060.0,5360.0,5315.0,5235.0,5135.0,5225.0,5390.0,5730.0,5970.0,6100.0,6605.0,5950.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
