partner,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
HU,5596.704,5226.631,5106.098,2928.315,4030.129,3463.998,2898.526,2280.034,2696.4500000000003,2545.591,2907.0860000000002,3359.148,4144.068,3802.085,3467.817,4237.651,3234.0,3484.0,3089.0,2070.0,1595.0,1689.0,1424.0,1358.0,1247.0,1458.0,1571.0,1473.0,748.0,760.0,83.0
DE,4566.408,3420.187,4224.215,3017.165,3042.089,4114.269,5328.218,4964.711,3753.509,2164.39,1388.47,2275.646,635.174,317.415,224.105,245.81,83.0,50.0,451.0,889.0,594.0,404.0,362.0,218.0,599.0,225.0,491.0,135.0,210.0,466.0,610.0
SK,2877.182,2974.324,2850.164,3039.197,2701.254,2246.667,1949.274,1791.105,2067.376,2042.153,2434.849,2134.7870000000003,2285.762,2041.0780000000002,1977.63,2565.994,1955.0,1701.0,1866.0,1256.0,1014.0,2353.0,2017.0,1415.0,841.0,441.0,1325.0,639.0,374.0,54.0,540.0
CZ,1668.911,1900.1299999999999,1887.112,3325.9700000000003,2174.003,1683.21,1801.636,1704.952,1985.1009999999999,3656.042,3442.8309999999997,3281.579,3677.398,3150.07,1447.623,3182.977,2357.0,2089.0,2315.0,3876.0,3892.0,4393.0,4634.0,2300.0,2273.0,1863.0,1347.0,652.0,389.0,73.0,578.0
SI,1500.52,1554.452,1616.988,1370.7930000000001,1298.616,1671.266,1560.516,1354.445,1203.653,758.677,627.493,572.841,869.317,717.05,936.842,539.408,141.0,178.0,200.0,236.0,213.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,512.288,689.633,748.401,500.181,299.118,1151.27,693.9970000000001,344.495,628.896,310.151,13.607,93.065,490.109,294.839,102.143,436.567,564.0,41.0,15.0,15.0,15.0,15.0,10.0,15.0,0.0,0.0,0.0,27.0,21.0,15.0,20.0
IT,311.333,1505.849,1738.652,1774.64,2418.284,2058.777,1489.7640000000001,1343.414,750.785,711.9889999999999,488.44399999999996,406.783,86.358,32.870000000000005,27.462,29.419,60.0,71.0,110.0,125.0,144.0,122.0,115.0,5.0,25.0,15.0,5.0,105.0,20.0,20.0,10.0
Other,619.4320000000007,819.0720000000001,1057.684000000001,869.5320000000011,777.2569999999996,877.7909999999974,1019.7980000000025,1983.2459999999992,2264.1489999999976,1697.2080000000005,2247.7840000000015,1464.607,3003.117,2713.374999999998,2129.4980000000014,2043.6990000000023,1399.0,1097.0,991.0,1394.0,1204.0,688.0,1110.0,2725.0,2030.0,1345.0,1555.0,1627.0,1188.0,1525.0,1367.0
